model_name,chunker,token_size,overlap,loss_total,ndcg_at_10,map_at_10,mrr_at_10,recall_at_20,precision_at_1,precision_at_10,loss_ndcg,loss_map,loss_mrr,loss_rec,loss_decay,loss_rob,loss_cost,nauc_ndcg_at_10_max,nauc_ndcg_at_10_std,cost_norm,rel_path
intfloat_e5_large,fixed_token,192,32,0.730237,0.168150,0.088950,0.300492,0.305920,0.161760,0.144220,0.831850,0.911050,0.699508,0.694080,0.108432,0.578277,0.000000,0.094335,0.019981,1.000000,intfloat_e5_large_fixed_token_c192_o32/results/intfloat__e5-large_4dc6d853a804b9c8886ede6dda8a073b7dc08a81/intfloat__e5-large/4dc6d853a804b9c8886ede6dda8a073b7dc08a81
BAAI_bge_base_en_v1.5,fixed_token,192,32,0.730444,0.159930,0.084140,0.305819,0.286130,0.170170,0.134660,0.840070,0.915860,0.694181,0.713870,0.208674,0.360043,0.000000,0.149043,0.042103,1.000000,BAAI_bge_base_en_v1.5_fixed_token_c192_o32/results/BAAI__bge-base-en-v1.5_a5beb1e3e68b9ab74eb54cfd186867f64f240e1a/BAAI__bge-base-en-v1.5/a5beb1e3e68b9ab74eb54cfd186867f64f240e1a
BAAI_bge_base_en_v1.5,hierarchical_section,192,32,0.731394,0.167410,0.087160,0.322387,0.295670,0.188030,0.138870,0.832590,0.912840,0.677613,0.704330,0.261448,0.457875,0.000000,0.119599,0.022348,1.000000,BAAI_bge_base_en_v1.5_hierarchical_section_c192_o32/results/BAAI__bge-base-en-v1.5_a5beb1e3e68b9ab74eb54cfd186867f64f240e1a/BAAI__bge-base-en-v1.5/a5beb1e3e68b9ab74eb54cfd186867f64f240e1a
nomic_ai_nomic_embed_text_v1.5,recursive_token,192,48,0.731890,0.154840,0.079570,0.294209,0.279270,0.156510,0.132350,0.845160,0.920430,0.705791,0.720730,0.154367,0.342225,0.000000,0.138471,-0.013832,1.000000,nomic_ai_nomic_embed_text_v1.5_recursive_token_c192_o48/results/nomic-ai__nomic-embed-text-v1.5_b0753ae76394dd36bcfb912a46018088bca48be0/nomic-ai__nomic-embed-text-v1.5/b0753ae76394dd36bcfb912a46018088bca48be0
intfloat_e5_base,semantic_recursive,256,48,0.732184,0.168410,0.089980,0.315652,0.295720,0.178570,0.141280,0.831590,0.910020,0.684348,0.704280,0.208826,0.533210,0.000000,0.095629,-0.004542,1.000000,intfloat_e5_base_semantic_recursive_c256_o48/results/intfloat__e5-base_b533fe4636f4a2507c08ddab40644d20b0006d6a/intfloat__e5-base/b533fe4636f4a2507c08ddab40644d20b0006d6a
intfloat_e5_small,semantic_fixed,192,32,0.732428,0.167900,0.089540,0.321412,0.279670,0.183820,0.140440,0.832100,0.910460,0.678588,0.720330,0.235992,0.483982,0.000000,0.118290,0.030173,1.000000,intfloat_e5_small_semantic_fixed_c192_o32/results/intfloat__e5-small_e272f3049e853b47cb5ca3952268c6662abda68f/intfloat__e5-small/e272f3049e853b47cb5ca3952268c6662abda68f
intfloat_e5_base,fixed_token,192,32,0.732516,0.161770,0.085880,0.299535,0.290470,0.162820,0.135820,0.838230,0.914120,0.700465,0.709530,0.165827,0.463952,0.000000,0.111505,0.008591,1.000000,intfloat_e5_base_fixed_token_c192_o32/results/intfloat__e5-base_b533fe4636f4a2507c08ddab40644d20b0006d6a/intfloat__e5-base/b533fe4636f4a2507c08ddab40644d20b0006d6a
nomic_ai_nomic_embed_text_v1,recursive_token,192,48,0.732873,0.156380,0.081870,0.290237,0.289850,0.144960,0.134560,0.843620,0.918130,0.709763,0.710150,0.071744,0.480790,0.000000,0.117921,-0.028158,1.000000,nomic_ai_nomic_embed_text_v1_recursive_token_c192_o48/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
intfloat_e5_base,semantic_fixed,192,32,0.732910,0.155620,0.082120,0.296011,0.278030,0.164920,0.132250,0.844380,0.917880,0.703989,0.721970,0.198096,0.337245,0.000000,0.136819,0.008536,1.000000,intfloat_e5_base_semantic_fixed_c192_o32/results/intfloat__e5-base_b533fe4636f4a2507c08ddab40644d20b0006d6a/intfloat__e5-base/b533fe4636f4a2507c08ddab40644d20b0006d6a
intfloat_multilingual_e5_base,fixed_token,192,16,0.733101,0.166150,0.085580,0.314290,0.284660,0.176470,0.136550,0.833850,0.914420,0.685710,0.715340,0.226214,0.471368,0.000000,0.127378,0.043303,1.000000,intfloat_multilingual_e5_base_fixed_token_c192_o16/results/intfloat__multilingual-e5-base_d13f1b27baf31030b7fd040960d60d909913633f/intfloat__multilingual-e5-base/d13f1b27baf31030b7fd040960d60d909913633f
