model_name,chunker,token_size,overlap,RRF@k,RRF-G@k,Recall@k,nDCG@k,MRR@k,MAP@k,k_req,k_recall_used,k_ndcg_used,k_mrr_used,k_map_used,beta,alpha,gamma,delta,rel_path
BAAI_bge_base_en_v1.5,hierarchical_section,384,0,0.5563,0.5009,0.5914,0.4059,0.3925,0.3197,10,10,10,10,10,2.5,2.0,1.0,0.5,BAAI_bge_base_en_v1.5_hierarchical_section_c384_o0/results/BAAI__bge-base-en-v1.5_a5beb1e3e68b9ab74eb54cfd186867f64f240e1a/BAAI__bge-base-en-v1.5/a5beb1e3e68b9ab74eb54cfd186867f64f240e1a
BAAI_bge_base_en_v1.5,hierarchical_section,384,32,0.5552,0.4979,0.5910,0.4024,0.3839,0.3162,10,10,10,10,10,2.5,2.0,1.0,0.5,BAAI_bge_base_en_v1.5_hierarchical_section_c384_o32/results/BAAI__bge-base-en-v1.5_a5beb1e3e68b9ab74eb54cfd186867f64f240e1a/BAAI__bge-base-en-v1.5/a5beb1e3e68b9ab74eb54cfd186867f64f240e1a
nomic_ai_nomic_embed_text_v1,semantic_recursive,320,0,0.5537,0.5031,0.5847,0.4157,0.4038,0.3356,10,10,10,10,10,2.5,2.0,1.0,0.5,nomic_ai_nomic_embed_text_v1_semantic_recursive_c320_o0/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
nomic_ai_nomic_embed_text_v1,semantic_recursive,320,32,0.5537,0.5032,0.5850,0.4148,0.4051,0.3330,10,10,10,10,10,2.5,2.0,1.0,0.5,nomic_ai_nomic_embed_text_v1_semantic_recursive_c320_o32/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
BAAI_bge_large_en_v1.5,recursive_token,320,0,0.5533,0.5037,0.5845,0.4151,0.4092,0.3332,10,10,10,10,10,2.5,2.0,1.0,0.5,BAAI_bge_large_en_v1.5_recursive_token_c320_o0/results/BAAI__bge-large-en-v1.5_d4aa6901d3a41ba39fb536a557fa166f842b0e09/BAAI__bge-large-en-v1.5/d4aa6901d3a41ba39fb536a557fa166f842b0e09
nomic_ai_nomic_embed_text_v1,semantic_fixed,256,0,0.5533,0.5030,0.5846,0.4145,0.4059,0.3324,10,10,10,10,10,2.5,2.0,1.0,0.5,nomic_ai_nomic_embed_text_v1_semantic_fixed_c256_o0/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
BAAI_bge_base_en_v1.5,hierarchical_section,320,0,0.5532,0.4966,0.5886,0.4022,0.3833,0.3174,10,10,10,10,10,2.5,2.0,1.0,0.5,BAAI_bge_base_en_v1.5_hierarchical_section_c320_o0/results/BAAI__bge-base-en-v1.5_a5beb1e3e68b9ab74eb54cfd186867f64f240e1a/BAAI__bge-base-en-v1.5/a5beb1e3e68b9ab74eb54cfd186867f64f240e1a
BAAI_bge_base_en_v1.5,recursive_token,384,0,0.5531,0.4951,0.5895,0.3990,0.3795,0.3130,10,10,10,10,10,2.5,2.0,1.0,0.5,BAAI_bge_base_en_v1.5_recursive_token_c384_o0/results/BAAI__bge-base-en-v1.5_a5beb1e3e68b9ab74eb54cfd186867f64f240e1a/BAAI__bge-base-en-v1.5/a5beb1e3e68b9ab74eb54cfd186867f64f240e1a
BAAI_bge_base_en_v1.5,fixed_token,448,0,0.5525,0.4964,0.5868,0.4044,0.3826,0.3237,10,10,10,10,10,2.5,2.0,1.0,0.5,BAAI_bge_base_en_v1.5_fixed_token_c448_o0/results/BAAI__bge-base-en-v1.5_a5beb1e3e68b9ab74eb54cfd186867f64f240e1a/BAAI__bge-base-en-v1.5/a5beb1e3e68b9ab74eb54cfd186867f64f240e1a
BAAI_bge_base_en_v1.5,fixed_token,448,64,0.5524,0.4954,0.5885,0.3992,0.3830,0.3110,10,10,10,10,10,2.5,2.0,1.0,0.5,BAAI_bge_base_en_v1.5_fixed_token_c448_o64/results/BAAI__bge-base-en-v1.5_a5beb1e3e68b9ab74eb54cfd186867f64f240e1a/BAAI__bge-base-en-v1.5/a5beb1e3e68b9ab74eb54cfd186867f64f240e1a
nomic_ai_nomic_embed_text_v1,recursive_token,256,32,0.5522,0.5021,0.5827,0.4161,0.4033,0.3375,10,10,10,10,10,2.5,2.0,1.0,0.5,nomic_ai_nomic_embed_text_v1_recursive_token_c256_o32/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
BAAI_bge_base_en_v1.5,semantic_fixed,448,0,0.5522,0.4956,0.5870,0.4027,0.3815,0.3209,10,10,10,10,10,2.5,2.0,1.0,0.5,BAAI_bge_base_en_v1.5_semantic_fixed_c448_o0/results/BAAI__bge-base-en-v1.5_a5beb1e3e68b9ab74eb54cfd186867f64f240e1a/BAAI__bge-base-en-v1.5/a5beb1e3e68b9ab74eb54cfd186867f64f240e1a
nomic_ai_nomic_embed_text_v1,semantic_recursive,320,48,0.5520,0.5018,0.5833,0.4134,0.4045,0.3317,10,10,10,10,10,2.5,2.0,1.0,0.5,nomic_ai_nomic_embed_text_v1_semantic_recursive_c320_o48/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
nomic_ai_nomic_embed_text_v1,hierarchical_section,320,32,0.5520,0.4992,0.5847,0.4091,0.3950,0.3256,10,10,10,10,10,2.5,2.0,1.0,0.5,nomic_ai_nomic_embed_text_v1_hierarchical_section_c320_o32/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
BAAI_bge_base_en_v1.5,recursive_token,448,32,0.5506,0.4906,0.5885,0.3926,0.3699,0.3065,10,10,10,10,10,2.5,2.0,1.0,0.5,BAAI_bge_base_en_v1.5_recursive_token_c448_o32/results/BAAI__bge-base-en-v1.5_a5beb1e3e68b9ab74eb54cfd186867f64f240e1a/BAAI__bge-base-en-v1.5/a5beb1e3e68b9ab74eb54cfd186867f64f240e1a
BAAI_bge_base_en_v1.5,semantic_fixed,384,0,0.5505,0.4952,0.5844,0.4039,0.3837,0.3217,10,10,10,10,10,2.5,2.0,1.0,0.5,BAAI_bge_base_en_v1.5_semantic_fixed_c384_o0/results/BAAI__bge-base-en-v1.5_a5beb1e3e68b9ab74eb54cfd186867f64f240e1a/BAAI__bge-base-en-v1.5/a5beb1e3e68b9ab74eb54cfd186867f64f240e1a
nomic_ai_nomic_embed_text_v1,hierarchical_section,320,48,0.5504,0.4958,0.5839,0.4050,0.3863,0.3241,10,10,10,10,10,2.5,2.0,1.0,0.5,nomic_ai_nomic_embed_text_v1_hierarchical_section_c320_o48/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
BAAI_bge_base_en_v1.5,recursive_token,384,32,0.5502,0.4930,0.5857,0.3990,0.3782,0.3153,10,10,10,10,10,2.5,2.0,1.0,0.5,BAAI_bge_base_en_v1.5_recursive_token_c384_o32/results/BAAI__bge-base-en-v1.5_a5beb1e3e68b9ab74eb54cfd186867f64f240e1a/BAAI__bge-base-en-v1.5/a5beb1e3e68b9ab74eb54cfd186867f64f240e1a
BAAI_bge_base_en_v1.5,fixed_token,448,32,0.5497,0.4908,0.5867,0.3945,0.3722,0.3103,10,10,10,10,10,2.5,2.0,1.0,0.5,BAAI_bge_base_en_v1.5_fixed_token_c448_o32/results/BAAI__bge-base-en-v1.5_a5beb1e3e68b9ab74eb54cfd186867f64f240e1a/BAAI__bge-base-en-v1.5/a5beb1e3e68b9ab74eb54cfd186867f64f240e1a
nomic_ai_nomic_embed_text_v1,semantic_recursive,256,16,0.5496,0.5004,0.5800,0.4141,0.4050,0.3352,10,10,10,10,10,2.5,2.0,1.0,0.5,nomic_ai_nomic_embed_text_v1_semantic_recursive_c256_o16/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
BAAI_bge_base_en_v1.5,recursive_token,448,48,0.5495,0.4915,0.5863,0.3948,0.3759,0.3070,10,10,10,10,10,2.5,2.0,1.0,0.5,BAAI_bge_base_en_v1.5_recursive_token_c448_o48/results/BAAI__bge-base-en-v1.5_a5beb1e3e68b9ab74eb54cfd186867f64f240e1a/BAAI__bge-base-en-v1.5/a5beb1e3e68b9ab74eb54cfd186867f64f240e1a
BAAI_bge_large_en_v1.5,semantic_fixed,320,32,0.5494,0.4941,0.5840,0.4007,0.3849,0.3161,10,10,10,10,10,2.5,2.0,1.0,0.5,BAAI_bge_large_en_v1.5_semantic_fixed_c320_o32/results/BAAI__bge-large-en-v1.5_d4aa6901d3a41ba39fb536a557fa166f842b0e09/BAAI__bge-large-en-v1.5/d4aa6901d3a41ba39fb536a557fa166f842b0e09
BAAI_bge_large_en_v1.5,fixed_token,320,16,0.5489,0.4978,0.5804,0.4100,0.3974,0.3288,10,10,10,10,10,2.5,2.0,1.0,0.5,BAAI_bge_large_en_v1.5_fixed_token_c320_o16/results/BAAI__bge-large-en-v1.5_d4aa6901d3a41ba39fb536a557fa166f842b0e09/BAAI__bge-large-en-v1.5/d4aa6901d3a41ba39fb536a557fa166f842b0e09
nomic_ai_nomic_embed_text_v1,fixed_token,256,0,0.5485,0.4975,0.5798,0.4101,0.3969,0.3289,10,10,10,10,10,2.5,2.0,1.0,0.5,nomic_ai_nomic_embed_text_v1_fixed_token_c256_o0/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
nomic_ai_nomic_embed_text_v1,hierarchical_section,320,64,0.5484,0.4933,0.5826,0.4011,0.3836,0.3180,10,10,10,10,10,2.5,2.0,1.0,0.5,nomic_ai_nomic_embed_text_v1_hierarchical_section_c320_o64/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
BAAI_bge_large_en_v1.5,semantic_fixed,320,16,0.5481,0.4984,0.5784,0.4129,0.4003,0.3338,10,10,10,10,10,2.5,2.0,1.0,0.5,BAAI_bge_large_en_v1.5_semantic_fixed_c320_o16/results/BAAI__bge-large-en-v1.5_d4aa6901d3a41ba39fb536a557fa166f842b0e09/BAAI__bge-large-en-v1.5/d4aa6901d3a41ba39fb536a557fa166f842b0e09
BAAI_bge_base_en_v1.5,recursive_token,448,64,0.5478,0.4902,0.5842,0.3945,0.3753,0.3082,10,10,10,10,10,2.5,2.0,1.0,0.5,BAAI_bge_base_en_v1.5_recursive_token_c448_o64/results/BAAI__bge-base-en-v1.5_a5beb1e3e68b9ab74eb54cfd186867f64f240e1a/BAAI__bge-base-en-v1.5/a5beb1e3e68b9ab74eb54cfd186867f64f240e1a
BAAI_bge_large_en_v1.5,fixed_token,320,32,0.5473,0.4930,0.5814,0.4002,0.3869,0.3148,10,10,10,10,10,2.5,2.0,1.0,0.5,BAAI_bge_large_en_v1.5_fixed_token_c320_o32/results/BAAI__bge-large-en-v1.5_d4aa6901d3a41ba39fb536a557fa166f842b0e09/BAAI__bge-large-en-v1.5/d4aa6901d3a41ba39fb536a557fa166f842b0e09
BAAI_bge_base_en_v1.5,semantic_fixed,448,64,0.5468,0.4909,0.5816,0.3982,0.3790,0.3140,10,10,10,10,10,2.5,2.0,1.0,0.5,BAAI_bge_base_en_v1.5_semantic_fixed_c448_o64/results/BAAI__bge-base-en-v1.5_a5beb1e3e68b9ab74eb54cfd186867f64f240e1a/BAAI__bge-base-en-v1.5/a5beb1e3e68b9ab74eb54cfd186867f64f240e1a
